Feature,Importance
transact,0.2415537
bindService,0.10301657
onServiceConnected,0.05616605
READ_PHONE_STATE,0.05390671
DELETE_CACHE_FILES,0.045494404
SEND_SMS,0.034901913
android.intent.action.SEND_MULTIPLE,0.018504927
CLEAR_APP_CACHE,0.016177481
CHANGE_COMPONENT_ENABLED_STATE,0.015228339
TelephonyManager.getDeviceId,0.014262747
android.telephony.gsm.SmsManager,0.011794433
CHANGE_WIFI_MULTICAST_STATE,0.010197477
Ljava.lang.Class.getCanonicalName,0.00990469
android.telephony.SmsManager,0.009496566
android.intent.action.TIMEZONE_CHANGED,0.009368739
READ_SYNC_SETTINGS,0.009026155
WRITE_GSERVICES,0.008678353
defineClass,0.008650875
READ_SYNC_STATS,0.008568843
chmod,0.008435182
remount,0.0075941263
WRITE_SMS,0.0068530412
PERSISTENT_ACTIVITY,0.006576699
INTERNET,0.006419834
android.intent.action.TIME_SET,0.0063403994
MANAGE_ACCOUNTS,0.006183932
AUTHENTICATE_ACCOUNTS,0.005566722
READ_PROFILE,0.0055156266
TelephonyManager.getLine1Number,0.005454776
HARDWARE_TEST,0.005345762
GLOBAL_SEARCH,0.0052766902
IRemoteService,0.0051331664
sendMultipartTextMessage,0.005042651
Ljava.lang.Class.getMethods,0.0049828375
RECEIVE_SMS,0.0048176222
WRITE_HISTORY_BOOKMARKS,0.0047199484
URLClassLoader,0.0040562632
Ljava.net.URLDecoder,0.0040413844
android.content.pm.Signature,0.0038018264
android.intent.action.SEND,0.0036814143
GET_ACCOUNTS,0.00365702
sendDataMessage,0.0036227063
SUBSCRIBED_FEEDS_READ,0.003548807
findClass,0.0035339969
Landroid.content.Context.registerReceiver,0.0031419562
ClassLoader,0.0031258839
Ljava.lang.Class.getResource,0.0030942692
READ_HISTORY_BOOKMARKS,0.0030929246
android.intent.action.NEW_OUTGOING_CALL,0.0030590075
FLASHLIGHT,0.0030461708
PackageInstaller,0.0028147106
READ_SMS,0.0027662246
Landroid.content.Context.unregisterReceiver,0.0027472496
BIND_REMOTEVIEWS,0.0027278988
attachInterface,0.0026521622
READ_CALL_LOG,0.0026202386
CAMERA,0.0025809526
Ljava.lang.Class.getDeclaredClasses,0.002575544
ServiceConnection,0.002504079
Ljava.lang.Class.cast,0.0024861433
USE_CREDENTIALS,0.0024803488
MODIFY_AUDIO_SETTINGS,0.0024564785
WRITE_CONTACTS,0.0024251486
getCallingUid,0.0024139758
android.intent.action.PACKAGE_REPLACED,0.0023867015
MASTER_CLEAR,0.0023826952
REBOOT,0.002339503
android.intent.action.BOOT_COMPLETED,0.0022836851
android.intent.action.ACTION_POWER_CONNECTED,0.0021735749
getBinder,0.0021462557
createSubprocess,0.0021373706
HttpGet.init,0.002072978
TelephonyManager.getSubscriberId,0.0020427501
/system/app,0.0019984369
System.loadLibrary,0.0019859767
IBinder,0.0019605856
Ljava.lang.Object.getClass,0.0019076999
TelephonyManager.getSimCountryIso,0.0018964311
CHANGE_NETWORK_STATE,0.0018385381
ACCESS_LOCATION_EXTRA_COMMANDS,0.0018306198
Ljavax.crypto.spec.SecretKeySpec,0.0017890858
Runtime.exec,0.0017769977
ACCESS_COARSE_LOCATION,0.0016977807
TelephonyManager.getSimOperator,0.0016292997
BLUETOOTH,0.001627049
MODIFY_PHONE_STATE,0.0016231071
WRITE_SYNC_SETTINGS,0.0016194166
Ljava.lang.Class.forName,0.0016100081
android.intent.action.PACKAGE_ADDED,0.0015965429
Ljava.lang.Class.getMethod,0.0015830949
android.intent.action.PACKAGE_REMOVED,0.0015706251
CALL_PRIVILEGED,0.0015686996
BLUETOOTH_ADMIN,0.0015683988
mount,0.0015504643
android.intent.action.ACTION_SHUTDOWN,0.001546412
ACCESS_FINE_LOCATION,0.0015096877
READ_CALENDAR,0.0014981201
HttpUriRequest,0.0014815165
Binder,0.0014716715
TelephonyManager.getSimSerialNumber,0.0014573182
SET_PREFERRED_APPLICATIONS,0.0014244749
/system/bin,0.0014213071
BROADCAST_STICKY,0.0014204313
android.os.IBinder,0.0014032522
WRITE_SETTINGS,0.0013981292
Ljava.lang.Class.getPackage,0.0013959626
WRITE_APN_SETTINGS,0.001365218
onBind,0.001348413
KeySpec,0.0013356407
divideMessage,0.0013041917
BATTERY_STATS,0.0012815733
DexClassLoader,0.0012471203
WAKE_LOCK,0.0012410543
RESTART_PACKAGES,0.0012142503
android.intent.action.PACKAGE_CHANGED,0.0012074944
abortBroadcast,0.0011965114
android.content.pm.PackageInfo,0.0011928717
TelephonyManager.isNetworkRoaming,0.0011808722
PROCESS_OUTGOING_CALLS,0.0011710344
TelephonyManager.getNetworkOperator,0.0011564965
NFC,0.0011376203
DELETE_PACKAGES,0.0011341226
ACCESS_NETWORK_STATE,0.0011268868
CLEAR_APP_USER_DATA,0.0011236605
android.intent.action.SET_WALLPAPER,0.0011038333
READ_LOGS,0.0010608832
android.os.Binder,0.0010599091
android.intent.action.BATTERY_OKAY,0.0010552558
Ljavax.crypto.Cipher,0.001053002
GET_TASKS,0.0010383517
chown,0.0010331033
SYSTEM_ALERT_WINDOW,0.0010293659
WRITE_EXTERNAL_STORAGE,0.0010041763
RECORD_AUDIO,0.00097233336
HttpPost.init,0.0009624146
BIND_INPUT_METHOD,0.00093802315
ACCESS_WIFI_STATE,0.0009373759
INSTALL_PACKAGES,0.00091517385
CHANGE_WIFI_STATE,0.0009123256
READ_EXTERNAL_STORAGE,0.00090394384
WRITE_CALENDAR,0.0008962393
Ljava.lang.Class.getDeclaredField,0.000871073
Ljava.lang.Class.getField,0.00083030283
VIBRATE,0.0008292474
TelephonyManager.getCallState,0.0008274657
CALL_PHONE,0.0008196487
READ_CONTACTS,0.0008084065
RECEIVE_WAP_PUSH,0.00080288685
Ljava.lang.Class.getClasses,0.0007542132
UPDATE_DEVICE_STATS,0.00070926687
MOUNT_UNMOUNT_FILESYSTEMS,0.0007085054
SET_WALLPAPER,0.00070521777
WRITE_SECURE_SETTINGS,0.0006944899
CHANGE_CONFIGURATION,0.0006746257
Runtime.getRuntime,0.00067399855
DISABLE_KEYGUARD,0.00062903354
SecretKey,0.00062690635
ProcessBuilder,0.00061099255
RECEIVE_BOOT_COMPLETED,0.0005546086
STATUS_BAR,0.0005476203
BIND_DEVICE_ADMIN,0.00052718347
BIND_WALLPAPER,0.00049010635
KILL_BACKGROUND_PROCESSES,0.0004311065
BROADCAST_SMS,0.00042822812
android.intent.action.PACKAGE_RESTARTED,0.0004088808
GET_PACKAGE_SIZE,0.00035317466
SET_ORIENTATION,0.00029144436
ACCESS_MOCK_LOCATION,0.0002498245
DUMP,0.00022166267
DEVICE_POWER,0.00020895939
RECEIVE_MMS,0.0001727123
android.intent.action.SENDTO,0.00016204843
PathClassLoader,0.0
android.intent.action.ACTION_POWER_DISCONNECTED,0.0
getCallingPid,0.0
Runtime.load,0.0
REORDER_TASKS,0.0
READ_USER_DICTIONARY,0.0
WRITE_USER_DICTIONARY,0.0
SUBSCRIBED_FEEDS_WRITE,0.0
android.intent.action.PACKAGE_DATA_CLEARED,0.0
WRITE_CALL_LOG,0.0
SET_TIME,0.0
android.intent.action.CALL,0.0
ACCOUNT_MANAGER,0.0
SET_ALARM,0.0
MessengerService,0.0
WRITE_SOCIAL_STREAM,0.0
READ_SOCIAL_STREAM,0.0
WRITE_PROFILE,0.0
BIND_APPWIDGET,0.0
Context.bindService,0.0
android.intent.action.SCREEN_ON,0.0
Process.start,0.0
SET_TIME_ZONE,0.0
CONTROL_LOCATION_UPDATES,0.0
BROADCAST_WAP_PUSH,0.0
BIND_ACCESSIBILITY_SERVICE,0.0
ADD_VOICEMAIL,0.0
MOUNT_FORMAT_FILESYSTEMS,0.0
android.intent.action.SCREEN_OFF,0.0
INSTALL_LOCATION_PROVIDER,0.0
android.intent.action.CALL_BUTTON,0.0
BIND_TEXT_SERVICE,0.0
SET_PROCESS_LIMIT,0.0
BIND_VPN_SERVICE,0.0
Runtime.loadLibrary,0.0
intent.action.RUN,0.0
SET_ACTIVITY_WATCHER,0.0
INTERNAL_SYSTEM_WINDOW,0.0
android.intent.action.BATTERY_LOW,0.0
EXPAND_STATUS_BAR,0.0
READ_FRAME_BUFFER,0.0
ACCESS_SURFACE_FLINGER,0.0
SET_WALLPAPER_HINTS,0.0
